name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#名字,#ID,#关系等级0良好1欢迎2友好3合作,#罕见武器的刷新倍率,#基础价格,#射程,#每秒伤害,#单发伤害,#emp,#冲击力,#转向速度,#装配,#最大子弹数量,#每秒装填次数,#每次装填数量,#伤害类型,#单发辐能,#每秒辐能,#充能时间,#重新开火冷却时间,#单发射击发射弹丸数量/爆发时间,#连续射击弹丸发射间隔/爆发冷却时间,#最小散布,#最大散布,#每发扩大散布,#停火时每秒缩减扩散,#光束速度,#弹丸速度,,#导弹飞行时间,#弹丸血量,#标签,,,,,,,,,,,,,,,
曙光高强度冲击波,RD_High_shock_wave,0,,1000,400,,1600,,,25,9,15,,,ENERGY,1600,,0.3,12,,,,,,,,1000,,,100,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","strike10, rd_basic_bp",SR_strike_only,黎明工程,,打击,优秀,普通,,,黎明共和国研制的高强度冲击波。,,,,,912.1
蹂躏者激光炮,RD_RavagerLaserCannon,,,0,750,,600,0,0,25,0,10,0.25,,ENERGY,350,,0.5,0.5,,0.25,,,,,,1000,,,,,energy14,,黎明工程,,瘫痪,较慢,较差,,,"当命中战机、护卫舰、驱逐舰的船体或装甲时，有{%s}的概率产生和武器命中目标时产生的伤害等值的额外护盾穿透伤害,对巡洋舰及以上等级的舰船伤害削减为百分之五十",50%,,,,912.2
冰晶射线,RD_icecrystalray,2,0.4,4000,1000,300,,,0,15,15,,,,ENERGY,,200,0.25,0.5,,,,,,,2400,,,,,,"energy12,rd_basic_bp",,黎明工程,,普通,较快,优秀,,,,,,,,912.3
轻型光圈加农炮,RD_small_aperture,0,,2500,500,,200,,10,15,8,,,,KINETIC,200,,0.25,0.25,1,0.25,0,3,1,2,,750,,,20,,"kinetic5, rd_basic_bp",strike6,黎明工程,,打击,普通,较差,较差,,击中装甲或结构时，将有较低概率会产生打击武器与引擎的电弧，造成额外emp与能量伤害。伤害与目标结构值与最大结构值的比值成正相关。,,,,,912.4
光圈加农炮,RD_mid_aperture,1,,5000,700,,300,,15,12,16,,,,KINETIC,300,,0.50,0.25,1,0.25,0,5,2,3,,750,,,30,,"kinetic6, rd_basic_bp",strike7,黎明工程,,打击,较慢,普通,极差,,击中装甲或结构时，将有较低概率会产生打击武器与引擎的电弧，造成额外emp与能量伤害。伤害与目标结构值与最大结构值的比值成正相关。,,,,,912.5
三联装光圈加农炮,RD_large_aperture,3,0.4,10000,900,,400,,20,9,24,,,,KINETIC,400,,1.0,0.25,1,0.25,0,8,3,5,,750,,,40,,"kinetic7, rd_high_bp",strike8,黎明工程,,压制,较慢,普通,极差,,击中装甲或结构时，将有较低概率会产生打击武器与引擎的电弧，造成额外emp与能量伤害。伤害与目标结构值与最大结构值的比值成正相关。,,,,,912.6
浪潮防空炮,RD_wave,1,,1000,600,,50,,10,15,8,,,,KINETIC,30,,0,0.3,1,,0,15,5,,,750,,,20,PD,"pd10, rd_basic_bp",,黎明工程,,点防御,较慢,较差,,,,,,,,912.7
黎明之矛,RD_spear_of_dawn,3,0.7,10000,1000,1300,,850,0,9,24,,,,ENERGY,,2000,0.6,1,1,5,,,,,10000,,,,,FIRE_WHEN_INEFFICIENT,"energy19, beam15, LR,rd_high_bp",,黎明工程,,瘫痪,普通,普通,,,当命中船体或装甲时，将大概率产生打击武器与引擎的电弧，造成额外{EMP}与能量伤害。当命中护盾时，将根据目标硬幅能水平随机产生穿透护盾的电弧。,,,,,912.8
雷霆执行者,RD_ThunderrEnforcer,0,,2000,600,,150,,0,18,7,20,0.50,2,ENERGY,150,,0.2,0.2,2,0.10,0,2,1,1,,1000,,,10,,"energy10,rd_basic_bp",,黎明工程,,瘫痪,较快,普通,,,当命中装甲或结构时，有较低概率会产生emp伤害，武器类型越大，伤害越高，概率与敌方船体的辐能、损失结构、损失cr成正相关。,,,,,912.9
